startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,Övriga svampar,Mängd mykorrhiza
Inte kalavverkad,blädning,30.1,21.63958333,6.899166667,0.331145833,19.20833333,10.01666667,0.543333333,16.59166667,17.61666667,3.316666667,16.55,1.156666667,85
Inte kalavverkad,blädning,40,23.2725,7.52325,0.3535785,20.62600382,10.63307839,0.596959847,17.31940727,18.39235182,3.696367113,17.32370937,1.412122371,90
Inte kalavverkad,blädning,50,25.99833333,8.4835,0.382644167,22.17226148,11.43524735,0.596687279,17.81166078,19.0889576,3.836925795,18.30008834,1.758171378,95
Inte kalavverkad,blädning,60,29.33333333,9.666666667,0.418,23.872,11.84,0.6112,18.304,19.52,4.128,20.192,1.5328,100
Inte kalavverkad,blädning,60.1,20.50625,6.8425,0.275980833,20.86978923,10.11241218,0.512786885,14.95362998,15.84543326,3.742388759,17.5971897,1.366370023,85
Inte kalavverkad,blädning,70,21.9225,7.40325,0.301686,22.20055376,10.73022612,0.570816797,15.76889709,16.80055376,4.063497923,18.10299954,1.762455007,90
Inte kalavverkad,blädning,80,24.47833333,8.4075,0.3328325,23.59037387,11.52410829,0.575960464,16.41985389,17.74258702,4.157627847,18.86935969,2.120128921,95
Inte kalavverkad,blädning,90,28.5,9.53,0.374,25.02709069,11.92932862,0.600235571,17.17314488,18.34628975,4.428739694,20.62661955,1.868551237,100
Inte kalavverkad,blädning,90.1,20.50625,6.8425,0.275980833,20.86978923,10.11241218,0.512786885,14.95362998,15.84543326,3.742388759,17.5971897,1.366370023,85
Inte kalavverkad,blädning,100,21.9225,7.40325,0.301686,22.20055376,10.73022612,0.570816797,15.76889709,16.80055376,4.063497923,18.10299954,1.762455007,90
Inte kalavverkad,luckhuggning,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,luckhuggning,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,luckhuggning,0.1,20.09375,6.2875,0.318875,14.23514851,8.242574257,0.534653465,18.67574257,17.15346535,2.331683168,12.81683168,1.00990099,75
Inte kalavverkad,luckhuggning,10,23.02791667,7.215083333,0.3618875,16.4223301,9.374757282,0.58,20.87864078,19.20339806,2.822330097,14.54902913,1.122330097,85
Inte kalavverkad,luckhuggning,20,28.66666667,8.983333333,0.40945,19.475,10.75535714,0.61,22.325,20.52678571,3.155357143,16.65892857,1.484375,95
Inte kalavverkad,luckhuggning,30,30.66666667,9.733333333,0.439,21.51612903,11.38709677,0.622580645,22.38709677,20.67741935,3.580645161,18.5483871,1.280645161,100
Inte kalavverkad,luckhuggning,30.1,19.09375,6.0875,0.265625,16.46428571,8.585714286,0.465714286,16.36428571,15.1,2.842857143,14.18571429,0.991428571,75
Inte kalavverkad,luckhuggning,40,21.97958333,7.105291667,0.3035775,18.93698885,9.762360595,0.548076208,18.27105019,16.88624535,3.393680297,15.90511152,1.296486989,85
Inte kalavverkad,luckhuggning,50,27.36666667,8.93,0.347858333,21.59982788,11.14001721,0.581282272,19.80447504,18.59612737,3.737865749,17.82762478,1.71277969,95
Inte kalavverkad,luckhuggning,60,29.33333333,9.666666667,0.38,23.3125,11.5625,0.596875,20.21875,19.0625,4.03125,19.71875,1.496875,100
Inte kalavverkad,luckhuggning,60.1,18.09375,6.0375,0.221375,18.03440367,8.73853211,0.443119266,14.47018349,13.69266055,3.233944954,15.20642202,1.180733945,75
Inte kalavverkad,luckhuggning,70,20.70458333,6.991958333,0.259023333,20.54064195,9.927938517,0.528137432,16.31907776,15.54439421,3.759674503,16.7494575,1.630678119,85
Inte kalavverkad,luckhuggning,80,25.76666667,8.85,0.302575,23.14283305,11.30548061,0.565033727,17.91062395,17.40598651,4.078752108,18.5113828,2.079907251,95
Inte kalavverkad,luckhuggning,90,28.5,9.53,0.34,24.59259259,11.72222222,0.589814815,18.61111111,18.02777778,4.351851852,20.26851852,1.836111111,100
Inte kalavverkad,luckhuggning,90.1,18.09375,6.0375,0.221375,18.03440367,8.73853211,0.443119266,14.47018349,13.69266055,3.233944954,15.20642202,1.180733945,75
Inte kalavverkad,luckhuggning,100,20.70458333,6.991958333,0.259023333,20.54064195,9.927938517,0.528137432,16.31907776,15.54439421,3.759674503,16.7494575,1.630678119,85
Inte kalavverkad,skärm,-7,26,9,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,skärm,0,26,9,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,skärm,0.1,18.85,6.84,0.25,10.8741573,6.337078652,0.2568,12.37078652,10.38202247,3,12.56629213,2.015730337,60
Inte kalavverkad,skärm,10,18.525,6.515,0.25,15.16666667,7.406060606,0.26975,12.40909091,11.36515152,4.766666667,12.07424242,1.024242424,65
Inte kalavverkad,skärm,10.1,10.64,3.784,0.111111111,11.2,4.8,0.072,5.2,5.2,3.8,8.2,1.06,40
Inte kalavverkad,skärm,20,14,4.92,0.122222222,18.12,7.92,0.129,7.8,7.68,3.36,12.72,2.142,60
Inte kalavverkad,skärm,20.1,10,3.25,0.077777778,16.5,7,0.0625,5.5,5,3.36,11,1.875,50
Inte kalavverkad,skärm,30,18,6.3,0.139333333,28.8,11.7,0.243,10.35,9.9,5.4,22.5,1.08,90
Inte kalavverkad,skärm,40,23,8.625,0.148,36.8,14.95,0.39675,13.225,12.65,6.9,27.6,2.53,115
