startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,Mängd mykorrhiza
kalavverkad,skärm,0.1,18.85,6.84,0.159789,13.23370787,6.674157303,0.4,9.337078652,8.359550562,2.625,13.57752809,2.68988764,60
kalavverkad,skärm,10,18.525,6.515,0.16223625,17.92424242,7.8,0.42,8.863636364,9.001515152,3.55,13.25606061,1.812121212,65
kalavverkad,skärm,10.1,10.64,3.784,0.1,11.38461538,4.8,0.3,4.923076923,4.830769231,1.98325,8.246153846,1.2,40
kalavverkad,skärm,20,14.8,4.92,0.11,18.56470588,8.047058824,0.33,7.482352941,7.235294118,3.3493,12.84705882,2.170588235,60
kalavverkad,skärm,20.1,10,3.25,0.07,16.5,7,0.25,5.5,5,2.74055,11,1.875,50
kalavverkad,skärm,30,18,6.3,0.11,28.8,11.7,0.34,10.35,9.9,5.2713,22.5,2.25,90
kalavverkad,skärm,40,23,8.625,0.123,36.8,14.95,0.47,13.225,12.65,5.9,27.6,2.53,115
kalavverkad,skärm,50,24,9.6,0.12801,36,15.6,0.72,14.4,15.6,6.6,27.6,3,120
kalavverkad,skärm,60,24,9.6,0.13554,34.8,14.4,0.792,15.6,16.8,6.6,28.2,3.4,120
kalavverkad,skärm,70,23,9.2,0.13710875,32.775,13.8,0.76705,15.525,17.25,6.51758,25.3,3.703,115
kalavverkad,skärm,80,21.6,9.18,0.13554,30.24,12.96,0.69984,15.12,17.28,6.0303,22.68,3.672,108
kalavverkad,skärm,90,25.75,8.755,0.13572825,27.81,12.36,0.689585,15.45,16.995,5.68384,21.115,3.4505,103
kalavverkad,skärm,100,26,9,0.13805,26,12,0.7,16,17,5.3332,20,3.3,100
kalavverkad,ingen åtgärd,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,10,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,20,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,30,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,40,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,50,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,60,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,70,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,80,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,90,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,100,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
Inte kalavverkad,trakthygge,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,trakthygge,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,trakthygge,0.1,0.75,0.3,0.002,0.85,0.5,0.2,0.75,0.5,0.7,1.3,0.3,5
Inte kalavverkad,trakthygge,10,2.55,0.93,0.005,4.5,1.8,0.2,1.5,1.35,2.1,3.15,0.3,15
Inte kalavverkad,trakthygge,20,12,3.9,0.04,19.8,8.4,0.25,6.6,6,3.6,13.2,2,60
Inte kalavverkad,trakthygge,30,24,8.4,0.095,38.4,15.6,0.36,13.8,12,7.2,30,2.5,120
Inte kalavverkad,trakthygge,40,24.6,9.225,0.1184,39.36,15.99,0.45,14.145,14,7.38,29.52,2.706,123
Inte kalavverkad,trakthygge,50,24.2,9.68,0.12285,36.3,15.73,0.605,14.52,15.73,7.26,29,3.025,121
Inte kalavverkad,trakthygge,60,24,9.6,0.128,34.8,14.4,0.66,15.6,16.8,6.6,28.2,3.3,120
Inte kalavverkad,trakthygge,70,24.15,9.2,0.12925,32.775,13.8,0.667,15.525,17.25,5.98,25.3,3.703,115
Inte kalavverkad,trakthygge,80,24.84,9.18,0.128,30.24,12.96,0.648,15.12,17.28,5.4,22.68,3.672,108
Inte kalavverkad,trakthygge,90,25.75,8.755,0.12815,27.81,12.36,0.6695,15.45,16.995,5.15,21.115,3.4505,103
Inte kalavverkad,trakthygge,100,26,9,0.13,26,12,0.7,16,17,5,20,3.3,100
Inte kalavverkad,blädning,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,blädning,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,blädning,0.1,22.77291667,7.125833333,0.500166667,16.13604405,9.343249292,0.55,21.16961439,19.44405934,2.643045295,14.52833178,1.144758472,85
Inte kalavverkad,blädning,10,24.3825,7.6395,0.50075,17.39088217,9.927659368,0.58,22.11001602,20.33597126,2.988784774,15.40709812,1.222605234,90
Inte kalavverkad,blädning,20,27.23333333,8.534166667,0.506,19.48439426,10.76054526,0.61,22.33576903,20.53668733,3.15687921,16.66696443,1.43926536,95
Inte kalavverkad,blädning,30,30.66666667,9.733333333,0.514,21.42903039,11.34100109,0.6200604,22.2964724,20.59371586,3.566150485,18.47330206,1.680267301,100
Inte kalavverkad,blädning,30.1,21.63958333,6.899166667,0.414166667,18.57355478,9.685645489,0.510873481,18.46074361,17.03448799,3.207060653,16.0030715,1.524562501,85
Inte kalavverkad,blädning,40,23.2725,7.52325,0.41715,20.00341197,10.31212102,0.55,19.29997144,17.83718231,3.584793001,16.80079662,1.627843153,90
Inte kalavverkad,blädning,50,25.99833333,8.4835,0.426166667,21.57390949,11.12664991,0.575,19.78071095,18.57381322,3.733380551,17.80623279,1.824718325,95
Inte kalavverkad,blädning,60,29.33333333,9.666666667,0.44,23.18426205,11.49889673,0.593591696,20.10753022,18.95764055,4.009074805,19.61028064,2.038723312,100
Inte kalavverkad,blädning,60.1,20.50625,6.8425,0.340166667,20.31042028,9.841371137,0.485094357,16.29638071,15.42073115,3.642082232,17.1255356,1.878384538,85
Inte kalavverkad,blädning,70,21.2025,7.17825,0.334733333,21.82296012,10.50225263,0.53,17.08993826,16.29901552,4.006340731,17.75738361,2.011346571,90
Inte kalavverkad,blädning,80,23.71833333,8.17,0.3485,23.25142675,11.31620883,0.564475914,17.7410964,17.27314522,4.106476825,18.55385371,2.195922473,95
Inte kalavverkad,blädning,90,27.7,9.28,0.37,24.58970032,11.67504077,0.586658808,18.35861276,17.81186075,4.359875944,20.23453776,2.38638399,100
Inte kalavverkad,blädning,90.1,20.50625,6.8425,0.340166667,20.31042028,9.841371137,0.485094357,16.29638071,15.42073115,3.642082232,17.1255356,1.878384538,85
Inte kalavverkad,blädning,100,21.9225,7.40325,0.349733333,21.69516749,10.48595703,0.513988852,17.23632231,16.41809622,3.970994101,17.69089236,1.988581633,90
Inte kalavverkad,luckhuggning,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,luckhuggning,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,luckhuggning,0.1,20.09375,6.2875,0.318875,14.23514851,8.242574257,0.51,18.67574257,17.15346535,2.331683168,12.81683168,1.00990099,75
Inte kalavverkad,luckhuggning,10,23.02791667,7.215083333,0.3618875,16.41611429,9.37120896,0.55,20.87073826,19.19612962,2.821261852,14.54352236,1.154077582,85
Inte kalavverkad,luckhuggning,20,27.23333333,8.534166667,0.40945,19.48439426,10.76054526,0.59,22.33576903,20.53668733,3.15687921,16.66696443,1.43926536,95
